               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090098,            0.040344,            0.026224,           0.0031544,             0.28908,           0.0028256,          0.00052864,            0.081894,            0.034533,            0.025822,             0.00243,             0.00243,             0.07813
                   1,            0.081405,            0.042149,            0.025333,            0.014839,             0.33338,            0.010273,           0.0018621,            0.075099,            0.035884,             0.02488,           0.0048695,           0.0048695,             0.05617
                   2,            0.074953,            0.045515,            0.024766,            0.027052,             0.11563,            0.012246,           0.0029661,            0.069077,            0.037679,            0.024642,           0.0073071,           0.0073071,            0.034207
                   3,            0.067115,            0.045388,            0.024411,             0.15441,             0.22324,             0.10348,            0.031722,            0.059715,            0.035251,            0.023247,           0.0097413,           0.0097413,            0.012241
                   4,            0.060774,            0.040924,            0.023398,             0.33342,             0.39663,             0.32401,             0.11543,            0.052069,             0.02791,            0.021051,           0.0099842,           0.0099842,           0.0099842
                   5,            0.054289,            0.036327,            0.021092,              0.3767,             0.50014,             0.41002,             0.15408,            0.049325,            0.026198,            0.017441,           0.0099842,           0.0099842,           0.0099842
                   6,            0.051389,            0.035278,            0.018184,              0.6452,             0.46292,             0.53712,             0.23341,            0.045318,            0.023337,            0.014144,           0.0099753,           0.0099753,           0.0099753
                   7,            0.048202,            0.033025,            0.016128,             0.75381,             0.53814,              0.6642,             0.29631,            0.042902,             0.02201,            0.010805,           0.0099645,           0.0099645,           0.0099645
                   8,            0.047824,            0.032207,            0.014016,             0.61646,             0.65719,             0.65918,             0.31808,            0.043198,            0.022101,           0.0086659,           0.0099517,           0.0099517,           0.0099517
                   9,            0.045767,            0.030259,            0.013255,             0.62943,             0.65205,             0.67842,             0.33065,            0.042272,            0.021451,           0.0081117,            0.009937,            0.009937,            0.009937
                  10,            0.045021,            0.031909,            0.011438,              0.6143,             0.71169,             0.70074,             0.35841,            0.041522,            0.021251,            0.007906,           0.0099203,           0.0099203,           0.0099203
                  11,             0.04408,            0.030359,            0.011368,             0.73071,             0.71336,             0.75502,             0.38919,            0.039341,            0.020161,           0.0059877,           0.0099017,           0.0099017,           0.0099017
                  12,            0.042892,            0.029414,            0.010956,             0.76384,             0.68931,             0.75972,             0.36958,            0.040826,            0.019466,           0.0077193,           0.0098811,           0.0098811,           0.0098811
                  13,            0.042766,            0.031069,            0.010218,             0.73692,             0.71032,             0.77754,             0.41522,            0.038635,            0.020916,           0.0054456,           0.0098586,           0.0098586,           0.0098586
                  14,            0.041766,            0.028919,           0.0096427,             0.87092,             0.68993,              0.8194,             0.45089,            0.038449,            0.019642,           0.0055366,           0.0098342,           0.0098342,           0.0098342
                  15,             0.04112,            0.027757,           0.0097799,             0.78952,             0.72374,             0.79532,             0.43064,            0.038438,            0.019184,           0.0054374,           0.0098079,           0.0098079,           0.0098079
                  16,            0.040137,            0.029054,           0.0093495,             0.73595,             0.79744,             0.80233,             0.40444,            0.039532,            0.018736,           0.0057518,           0.0097798,           0.0097798,           0.0097798
                  17,            0.039623,            0.028431,           0.0087908,              0.7799,             0.73323,             0.79498,             0.42608,            0.037657,            0.018696,           0.0053426,           0.0097497,           0.0097497,           0.0097497
                  18,            0.039637,            0.028029,           0.0084805,             0.78405,             0.72836,             0.79485,             0.41672,            0.038853,            0.019016,           0.0047661,           0.0097178,           0.0097178,           0.0097178
                  19,            0.039072,            0.026807,           0.0089037,             0.80012,             0.71633,             0.79413,             0.43631,            0.037837,            0.019007,           0.0055698,            0.009684,            0.009684,            0.009684
                  20,            0.038273,            0.027496,           0.0089662,             0.74419,             0.79642,             0.82784,             0.45094,             0.03689,            0.019007,            0.004995,           0.0096484,           0.0096484,           0.0096484
                  21,            0.038742,            0.027385,           0.0080312,             0.83179,             0.76252,             0.84138,             0.44838,            0.039022,            0.018267,           0.0046078,            0.009611,            0.009611,            0.009611
                  22,            0.037838,            0.026258,           0.0085291,             0.84959,             0.72307,             0.84025,             0.45006,            0.038085,            0.018419,            0.005075,           0.0095717,           0.0095717,           0.0095717
                  23,            0.037331,            0.025804,           0.0079149,             0.81756,             0.73995,             0.83073,             0.46041,            0.036934,            0.018307,           0.0041689,           0.0095307,           0.0095307,           0.0095307
                  24,            0.037306,            0.026303,           0.0073906,             0.80272,             0.79695,              0.8545,             0.48579,             0.03618,            0.018647,           0.0041253,           0.0094879,           0.0094879,           0.0094879
                  25,            0.037607,             0.02722,           0.0075408,             0.84141,             0.72447,             0.82736,             0.46566,            0.036209,            0.018128,           0.0046965,           0.0094434,           0.0094434,           0.0094434
                  26,            0.036507,            0.025939,           0.0069887,             0.79075,             0.79166,             0.83051,             0.47301,            0.036638,            0.017775,           0.0042204,           0.0093971,           0.0093971,           0.0093971
                  27,            0.036679,            0.026241,           0.0073338,             0.83061,             0.79549,             0.86467,             0.46653,            0.036662,            0.018495,           0.0045628,           0.0093491,           0.0093491,           0.0093491
                  28,             0.03684,            0.025503,             0.00717,             0.84729,             0.74041,             0.84499,             0.47923,            0.036037,            0.017614,           0.0038787,           0.0092995,           0.0092995,           0.0092995
                  29,              0.0363,            0.024999,           0.0071493,              0.8104,             0.75561,             0.81969,             0.43722,            0.036944,             0.01775,           0.0057211,           0.0092481,           0.0092481,           0.0092481
                  30,            0.035685,            0.026495,            0.007306,             0.79671,             0.79191,             0.84782,             0.45935,            0.037058,            0.017805,           0.0050358,           0.0091952,           0.0091952,           0.0091952
                  31,            0.035895,            0.025302,           0.0072258,             0.85229,             0.74192,             0.84615,             0.48129,            0.036451,            0.017502,           0.0042704,           0.0091406,           0.0091406,           0.0091406
                  32,            0.035458,            0.024232,           0.0072508,              0.8662,             0.78425,             0.87787,             0.50086,            0.034494,            0.017358,           0.0038173,           0.0090844,           0.0090844,           0.0090844
                  33,            0.034686,            0.025468,           0.0065319,             0.85141,             0.78399,             0.86408,             0.48617,            0.035151,             0.01761,           0.0035917,           0.0090266,           0.0090266,           0.0090266
                  34,            0.035447,            0.024686,           0.0062438,             0.75842,             0.81135,             0.83976,             0.46568,            0.036563,            0.017914,           0.0050178,           0.0089673,           0.0089673,           0.0089673
                  35,            0.035027,            0.025093,           0.0071761,             0.77795,             0.81044,             0.85055,             0.46442,             0.03681,            0.016998,           0.0039102,           0.0089065,           0.0089065,           0.0089065
                  36,            0.034909,            0.025034,            0.006329,             0.86834,             0.79035,             0.87214,             0.46773,              0.0362,             0.01738,           0.0038628,           0.0088442,           0.0088442,           0.0088442
                  37,            0.033876,            0.024567,           0.0064269,             0.75801,             0.81876,             0.85467,             0.47815,            0.035637,            0.017024,            0.004545,           0.0087804,           0.0087804,           0.0087804
                  38,            0.034196,            0.024251,           0.0066261,             0.82181,             0.84269,             0.87028,             0.51072,            0.033898,            0.017436,           0.0050407,           0.0087151,           0.0087151,           0.0087151
                  39,            0.033973,            0.024404,           0.0064583,             0.88356,             0.76835,             0.87267,             0.48487,            0.036008,            0.017014,           0.0030621,           0.0086485,           0.0086485,           0.0086485
                  40,             0.03372,            0.023687,           0.0062772,             0.85603,             0.81798,             0.88578,             0.52229,            0.033807,            0.016583,           0.0032118,           0.0085805,           0.0085805,           0.0085805
                  41,            0.033106,            0.022639,             0.00603,             0.85429,             0.84681,             0.89249,             0.52031,            0.034656,            0.016504,           0.0031058,           0.0085111,           0.0085111,           0.0085111
                  42,            0.033268,            0.023743,           0.0061318,             0.86045,             0.80486,             0.87842,             0.48746,            0.035799,            0.016626,           0.0038329,           0.0084404,           0.0084404,           0.0084404
                  43,            0.033375,             0.02336,           0.0065605,             0.84022,             0.77515,             0.86039,             0.50003,             0.03467,            0.016831,           0.0030627,           0.0083684,           0.0083684,           0.0083684
                  44,            0.033474,            0.024464,           0.0063565,             0.84658,             0.82902,             0.88447,             0.52745,             0.03369,            0.016695,           0.0030157,           0.0082952,           0.0082952,           0.0082952
                  45,            0.032919,            0.024065,           0.0063458,             0.78557,             0.86339,             0.88304,             0.47831,            0.035767,            0.016777,           0.0035324,           0.0082207,           0.0082207,           0.0082207
                  46,            0.032632,            0.022437,           0.0053979,             0.89392,             0.76867,             0.88141,             0.49079,            0.035834,            0.016421,           0.0033074,            0.008145,            0.008145,            0.008145
                  47,            0.032087,            0.022517,           0.0055857,             0.83562,             0.86952,             0.89472,              0.5351,            0.033545,             0.01616,           0.0034318,           0.0080682,           0.0080682,           0.0080682
                  48,            0.032302,            0.023087,           0.0057802,              0.8853,             0.81853,             0.89097,             0.52712,            0.032879,            0.016422,           0.0042957,           0.0079903,           0.0079903,           0.0079903
                  49,            0.032373,            0.021862,           0.0057525,             0.87182,             0.84292,             0.89178,             0.50303,            0.034123,            0.016558,           0.0042305,           0.0079112,           0.0079112,           0.0079112
                  50,            0.031972,            0.022601,           0.0053617,             0.84166,             0.88352,             0.89684,             0.50664,            0.033306,            0.016324,            0.004711,           0.0078311,           0.0078311,           0.0078311
                  51,            0.031767,            0.022399,           0.0051854,             0.89542,              0.8143,             0.89916,             0.53682,            0.033496,            0.016314,           0.0049484,             0.00775,             0.00775,             0.00775
                  52,            0.032427,            0.023277,            0.005439,             0.87562,             0.85384,             0.90501,             0.51669,            0.033981,            0.015969,           0.0036242,           0.0076679,           0.0076679,           0.0076679
                  53,             0.03167,            0.023068,           0.0057128,             0.89113,             0.84222,             0.90322,             0.52718,            0.033536,            0.016121,           0.0042137,           0.0075848,           0.0075848,           0.0075848
                  54,            0.031275,            0.022302,           0.0053727,             0.87528,             0.82526,             0.89812,             0.51703,            0.034038,            0.015786,           0.0038138,           0.0075009,           0.0075009,           0.0075009
                  55,            0.031466,            0.021721,           0.0054153,             0.88629,             0.85295,              0.9071,             0.51543,            0.033283,            0.015807,           0.0035397,            0.007416,            0.007416,            0.007416
                  56,            0.031811,            0.021761,             0.00523,              0.8597,             0.87877,             0.91539,              0.5277,             0.03342,            0.016095,           0.0041739,           0.0073303,           0.0073303,           0.0073303
                  57,            0.030761,             0.02199,           0.0053741,             0.89478,              0.8291,             0.90779,             0.52243,            0.033703,             0.01597,           0.0038286,           0.0072438,           0.0072438,           0.0072438
                  58,            0.031117,            0.022628,           0.0050048,              0.8425,             0.84407,             0.90008,             0.51422,            0.033891,            0.016455,           0.0040957,           0.0071566,           0.0071566,           0.0071566
                  59,            0.030575,            0.021667,           0.0048778,             0.84184,             0.84868,             0.89518,             0.53796,            0.033253,              0.0158,           0.0039145,           0.0070686,           0.0070686,           0.0070686
                  60,            0.030814,            0.021548,           0.0051498,             0.88017,             0.83447,             0.90713,             0.53477,            0.033878,            0.015668,           0.0044414,           0.0069799,           0.0069799,           0.0069799
                  61,            0.030771,            0.020632,           0.0051747,             0.84071,             0.85774,             0.89824,             0.52289,            0.034369,            0.015935,           0.0039716,           0.0068906,           0.0068906,           0.0068906
                  62,             0.03034,            0.021328,            0.004891,             0.88254,             0.85527,             0.91228,             0.55578,            0.032434,            0.015524,           0.0046626,           0.0068006,           0.0068006,           0.0068006
                  63,            0.031046,            0.021739,            0.005015,             0.89572,             0.80311,             0.89791,             0.54343,            0.032984,            0.015931,           0.0049071,           0.0067101,           0.0067101,           0.0067101
                  64,            0.030333,            0.021441,           0.0054725,             0.88566,             0.85214,             0.90458,             0.54775,            0.032788,            0.015839,           0.0040436,           0.0066191,           0.0066191,           0.0066191
                  65,            0.030322,            0.021245,           0.0052496,             0.93084,             0.77996,             0.90171,             0.53131,              0.0332,             0.01602,           0.0039256,           0.0065276,           0.0065276,           0.0065276
                  66,            0.029844,            0.021496,            0.004844,             0.90947,             0.81217,             0.91256,             0.53244,            0.033397,             0.01557,           0.0035156,           0.0064356,           0.0064356,           0.0064356
                  67,            0.030025,            0.021843,           0.0048163,             0.89115,             0.84454,             0.91443,             0.55521,             0.03218,            0.015538,           0.0026958,           0.0063432,           0.0063432,           0.0063432
                  68,            0.030177,            0.021186,           0.0050057,             0.87904,              0.8795,             0.92285,             0.54546,            0.032878,            0.015173,           0.0030343,           0.0062505,           0.0062505,           0.0062505
                  69,            0.029777,            0.021505,           0.0046108,             0.88261,             0.87238,             0.90716,             0.54455,            0.032634,            0.015304,           0.0029961,           0.0061574,           0.0061574,           0.0061574
                  70,            0.029396,            0.020821,           0.0047997,             0.85854,              0.8548,              0.8981,             0.51611,            0.034623,            0.015866,           0.0037353,            0.006064,            0.006064,            0.006064
                  71,            0.029674,            0.021119,            0.004218,              0.8688,             0.87157,             0.91015,             0.55485,            0.031937,            0.015628,           0.0038091,           0.0059704,           0.0059704,           0.0059704
                  72,            0.030009,             0.02013,           0.0053213,             0.87938,              0.8504,             0.90179,              0.5475,            0.032898,            0.015708,           0.0044076,           0.0058766,           0.0058766,           0.0058766
